,Location,Experience Level,Industry,Domain,AI_Impact_Category
1070,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,Cyber Security,Automation Affected
1071,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,Cyber Security,Automation Affected
1072,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,Cyber Security,Low AI Impact
1077,"Pune, Maharashtra, India",Mid-Senior level,Business Consulting and Services,Cyber Security,Low AI Impact
1078,"Chennai, Tamil Nadu, India",Mid-Senior level,Staffing and Recruiting,Cyber Security,Automation Affected
1079,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,Cyber Security,Automation Affected
1081,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,Cyber Security,Automation Affected
1082,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,Cyber Security,Automation Affected
1084,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",Cyber Security,Automation Affected
1085,"Pune, Maharashtra, India",Mid-Senior level,Software Development,Cyber Security,Automation Affected
1086,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,Cyber Security,Low AI Impact
1087,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,Cyber Security,Automation Affected
1090,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,Cyber Security,Automation Affected
1091,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,Cyber Security,Automation Affected
1094,"Mumbai, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1096,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1103,"Bengaluru, Karnataka, India",Entry level,Pharmaceutical Manufacturing,Data Analyst,Automation Affected
1107,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1109,"Bengaluru, Karnataka, India",Entry level,Software Development,Data Analyst,Low AI Impact
1110,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1112,"Pune, Maharashtra, India",Entry level,Software Development,Data Analyst,Automation Affected
1119,"Bengaluru, Karnataka, India",Entry level,Software Development,Data Analyst,Automation Affected
1120,"Gurgaon, Haryana, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1121,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1130,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1132,"Bengaluru, Karnataka, India",Entry level,Staffing and Recruiting,Data Analyst,Low AI Impact
1135,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Automation Affected
1138,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1139,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1145,"Delhi, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1147,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1148,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1149,"Bengaluru, Karnataka, India",Entry level,Software Development,Data Analyst,Low AI Impact
1151,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,Automation Affected
1153,"Bengaluru, Karnataka, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1155,"Bengaluru, Karnataka, India",Entry level,Banking,Data Analyst,Low AI Impact
1156,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1157,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1158,"Bengaluru, Karnataka, India",Entry level,Banking,Data Analyst,AI Adoption Affected
1159,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1160,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1161,"Bengaluru, Karnataka, India",Entry level,Software Development,Data Analyst,Automation Affected
1162,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1163,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1164,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1165,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1166,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1167,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1168,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1169,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1170,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1171,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Automation Affected
1172,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,Data Analyst,Automation Affected
1173,"Bengaluru, Karnataka, India",Entry level,Retail ,Data Analyst,Automation Affected
1174,"Bengaluru, Karnataka, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1175,"Bengaluru, Karnataka, India",Entry level,Retail ,Data Analyst,Low AI Impact
1178,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1181,"Bengaluru, Karnataka, India",Entry level,Retail ,Data Analyst,Automation Affected
1182,"Bengaluru, Karnataka, India",Entry level,Software Development,Data Analyst,Automation Affected
1183,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1187,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1189,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1190,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1191,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1195,"Bengaluru, Karnataka, India",Entry level,Software Development,Data Analyst,Low AI Impact
1197,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1199,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1202,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1203,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1204,"Bengaluru, Karnataka, India",Entry level,Financial Services,Data Analyst,Automation Affected
1205,"Bengaluru, Karnataka, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1206,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1207,"Hyderabad, Telangana, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1208,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1209,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1210,"Hyderabad, Telangana, India",Entry level,Software Development,Data Analyst,AI Adoption Affected
1211,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1213,"Hyderabad, Telangana, India",Entry level,Software Development,Data Analyst,Low AI Impact
1214,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1217,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1218,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1220,"Hyderabad, Telangana, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1221,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1223,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1225,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",Data Analyst,Automation Affected
1226,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",Data Analyst,Automation Affected
1227,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1228,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",Data Analyst,AI Adoption Affected
1234,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,AI Adoption Affected
1236,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1237,"Hyderabad, Telangana, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1238,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1239,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1240,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1241,"Hyderabad, Telangana, India",Entry level,Pharmaceutical Manufacturing,Data Analyst,Automation Affected
1242,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1243,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1244,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Automation Affected
1245,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1246,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1247,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1248,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1249,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",Data Analyst,AI Adoption Affected
1251,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1252,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1253,"Hyderabad, Telangana, India",Entry level,Pharmaceutical Manufacturing,Data Analyst,Low AI Impact
1254,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,AI Adoption Affected
1256,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1257,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1258,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1259,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1260,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1261,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1263,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,AI Adoption Affected
1264,"Mumbai, Maharashtra, India",Entry level,Financial Services,Data Analyst,AI Adoption Affected
1265,"Mumbai, Maharashtra, India",Entry level,Banking,Data Analyst,Low AI Impact
1266,"Mumbai, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1267,"Mumbai, Maharashtra, India",Entry level,Banking,Data Analyst,Low AI Impact
1268,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1269,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1270,"Mumbai, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1271,"Mumbai, Maharashtra, India",Entry level,Banking,Data Analyst,Low AI Impact
1272,"Mumbai, Maharashtra, India",Entry level,Banking,Data Analyst,Low AI Impact
1274,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1275,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1276,"Mumbai, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1278,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1281,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,Automation Affected
1283,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1284,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1285,"Mumbai, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1286,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1287,"Mumbai, Maharashtra, India",Entry level,Banking,Data Analyst,Low AI Impact
1289,"Mumbai, Maharashtra, India",Entry level,Banking,Data Analyst,Low AI Impact
1290,"Mumbai, Maharashtra, India",Entry level,Banking,Data Analyst,Low AI Impact
1291,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1292,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1293,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1294,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1295,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1296,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1297,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1298,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1299,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1302,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1303,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1304,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1305,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1306,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1307,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1309,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1310,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1311,"Mumbai, Maharashtra, India",Entry level,Staffing and Recruiting,Data Analyst,Low AI Impact
1312,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1313,"Mumbai, Maharashtra, India",Entry level,Retail ,Data Analyst,Low AI Impact
1314,"Mumbai, Maharashtra, India",Entry level,Financial Services,Data Analyst,AI Adoption Affected
1315,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1316,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1317,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,Automation Affected
1318,"Pune, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1319,"Pune, Maharashtra, India",Entry level,Education Administration Programs,Data Analyst,Low AI Impact
1320,"Pune, Maharashtra, India",Entry level,Software Development,Data Analyst,Low AI Impact
1321,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1322,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1323,"Pune, Maharashtra, India",Entry level,Banking,Data Analyst,Low AI Impact
1324,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1325,"Pune, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,AI Adoption Affected
1326,"Pune, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Automation Affected
1327,"Pune, Maharashtra, India",Entry level,Software Development,Data Analyst,Low AI Impact
1330,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1331,"Pune, Maharashtra, India",Entry level,Financial Services,Data Analyst,Automation Affected
1333,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1334,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1335,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1336,"Pune, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,AI Adoption Affected
1337,"Pune, Maharashtra, India",Entry level,Software Development,Data Analyst,Automation Affected
1338,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1339,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1340,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1341,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1342,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1343,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1344,"Pune, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1345,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1346,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1347,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1348,"Pune, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1349,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1350,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1351,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1352,"Pune, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Automation Affected
1353,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1355,"Pune, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1357,"Pune, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1358,"Pune, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,AI Adoption Affected
1359,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1360,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1361,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1362,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1363,"Pune, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1364,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1365,"Pune, Maharashtra, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1366,"Pune, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1367,"Pune, Maharashtra, India",Entry level,Banking,Data Analyst,AI Adoption Affected
1368,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1369,"Pune, Maharashtra, India",Entry level,"Technology, Information and Internet",Data Analyst,AI Adoption Affected
1370,"Pune, Maharashtra, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1372,"Pune, Maharashtra, India",Entry level,Software Development,Data Analyst,Automation Affected
1373,"Chennai, Tamil Nadu, India",Entry level,Banking,Data Analyst,Low AI Impact
1374,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1375,"Chennai, Tamil Nadu, India",Entry level,"Technology, Information and Internet",Data Analyst,AI Adoption Affected
1376,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1378,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1379,"Chennai, Tamil Nadu, India",Entry level,"Technology, Information and Internet",Data Analyst,Low AI Impact
1380,"Chennai, Tamil Nadu, India",Entry level,Staffing and Recruiting,Data Analyst,Low AI Impact
1381,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,Automation Affected
1382,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1383,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1384,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1385,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,AI Adoption Affected
1386,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,Automation Affected
1387,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1388,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,AI Adoption Affected
1389,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1390,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,Low AI Impact
1392,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,AI Adoption Affected
1394,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,AI Adoption Affected
1395,"Chennai, Tamil Nadu, India",Entry level,Business Consulting and Services,Data Analyst,AI Adoption Affected
1396,"Chennai, Tamil Nadu, India",Entry level,"Technology, Information and Internet",Data Analyst,AI Adoption Affected
1397,"Chennai, Tamil Nadu, India",Entry level,Software Development,Data Analyst,Automation Affected
1398,"Chennai, Tamil Nadu, India",Entry level,Software Development,Data Analyst,AI Adoption Affected
1399,"Chennai, Tamil Nadu, India",Entry level,Banking,Data Analyst,Low AI Impact
1400,"Chennai, Tamil Nadu, India",Entry level,Software Development,Data Analyst,AI Adoption Affected
1401,"Chennai, Tamil Nadu, India",Entry level,Software Development,Data Analyst,AI Adoption Affected
1402,"Chennai, Tamil Nadu, India",Entry level,Staffing and Recruiting,Data Analyst,AI Adoption Affected
1404,"Chennai, Tamil Nadu, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1405,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Automation Affected
1406,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1407,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1408,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1409,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1410,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1412,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1413,"Chennai, Tamil Nadu, India",Entry level,Financial Services,Data Analyst,Low AI Impact
1415,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1416,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1417,"Chennai, Tamil Nadu, India",Entry level,Financial Services,Data Analyst,Automation Affected
1418,"Chennai, Tamil Nadu, India",Entry level,Banking,Data Analyst,Automation Affected
1419,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1420,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1421,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1422,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1423,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1425,"Chennai, Tamil Nadu, India",Entry level,Banking,Data Analyst,Low AI Impact
1426,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,Data Analyst,Low AI Impact
1427,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,Automation Affected
1428,"Bengaluru, Karnataka, India",Associate,Banking,Data Analyst,Automation Affected
1430,"Bengaluru, Karnataka, India",Associate,Business Consulting and Services,Data Analyst,AI Adoption Affected
1432,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,Low AI Impact
1433,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,Low AI Impact
1434,"Bengaluru, Karnataka, India",Associate,Financial Services,Data Analyst,AI Adoption Affected
1436,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,Low AI Impact
1437,"Bengaluru, Karnataka, India",Associate,Banking,Data Analyst,Low AI Impact
1438,"Bengaluru, Karnataka, India",Associate,Financial Services,Data Analyst,Automation Affected
1439,"Bengaluru, Karnataka, India",Associate,Software Development,Data Analyst,Automation Affected
1441,"Bengaluru, Karnataka, India",Associate,Financial Services,Data Analyst,Low AI Impact
1445,"Bengaluru, Karnataka, India",Associate,Financial Services,Data Analyst,Low AI Impact
1446,"Bengaluru, Karnataka, India",Associate,Software Development,Data Analyst,Automation Affected
1447,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,Automation Affected
1448,"Bengaluru, Karnataka, India",Associate,Business Consulting and Services,Data Analyst,Low AI Impact
1449,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1450,"Bengaluru, Karnataka, India",Associate,Financial Services,Data Analyst,Automation Affected
1451,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1452,"Bengaluru, Karnataka, India",Associate,Software Development,Data Analyst,Low AI Impact
1453,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1454,"Bengaluru, Karnataka, India",Associate,Software Development,Data Analyst,Low AI Impact
1456,"Bengaluru, Karnataka, India",Associate,Financial Services,Data Analyst,Automation Affected
1457,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,Low AI Impact
1458,"Bengaluru, Karnataka, India",Associate,Financial Services,Data Analyst,Automation Affected
1460,"Bengaluru, Karnataka, India",Associate,Financial Services,Data Analyst,Low AI Impact
1461,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,AI Adoption Affected
1464,"Bengaluru, Karnataka, India",Associate,Software Development,Data Analyst,AI Adoption Affected
1465,"Bengaluru, Karnataka, India",Associate,Software Development,Data Analyst,Low AI Impact
1466,"Bengaluru, Karnataka, India",Associate,Software Development,Data Analyst,AI Adoption Affected
1467,"Bengaluru, Karnataka, India",Associate,Business Consulting and Services,Data Analyst,AI Adoption Affected
1468,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,Low AI Impact
1469,"Bengaluru, Karnataka, India",Associate,"Technology, Information and Internet",Data Analyst,Automation Affected
1470,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,Data Analyst,Low AI Impact
