Job Title,Company Name,Location,Experience Level,Industry,No of Applications,Domain,AI_Impact_Category
"Manager, Information Security Incident Response","NTT DATA, Inc.","Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,100,Cyber Security,Low AI Impact
Principal Security Analyst,Oracle,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Cyber Security Specialist,Embitel Technologies,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Automation Affected
Cyber Security Engineer,ACL Digital,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Threat Research Analyst,ZeroFox,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,29,Cyber Security,Automation Affected
Cybersecurity Incident Coordinator,HP,"Bengaluru, Karnataka, India",Mid-Senior level,Computer Hardware Manufacturing,200,Cyber Security,Low AI Impact
Information Security Manager,Ajanta Pharma Ltd,"Mumbai, Maharashtra, India",Mid-Senior level,Pharmaceutical Manufacturing,200,Cyber Security,Low AI Impact
Vulnerability Assessment Specialist,"NTT DATA, Inc.","Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Cyber Security Specialist,Tata Consultancy Services,"Hyderabad, Telangana, India",Mid-Senior level,Business Consulting and Services,144,Cyber Security,Automation Affected
Cyber Security Manager,Wissen Infotech,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Walk-In Drive-Incident Response- Thane Mumbai-8th November'25 Saturday,Deloitte,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,116,Cyber Security,Low AI Impact
Walk-In Drive-Incident Response- Thane Mumbai-8th November'25 Saturday,Deloitte,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,104,Cyber Security,Low AI Impact
Security Tester,BNP Paribas,"Mumbai, Maharashtra, India",Mid-Senior level,Banking,200,Cyber Security,Low AI Impact
"Manager, Continent Information Security Partnership, APEC (1 Year Contract)",Marriott International,"Mumbai, Maharashtra, India",Mid-Senior level,Hospitality,155,Cyber Security,Low AI Impact
Penetration Tester,"NTT DATA, Inc.","Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Automation Affected
Senior Application Security Manager,ARCON,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,141,Cyber Security,Automation Affected
Cloud Security,KPMG India,"Mumbai, Maharashtra, India",Mid-Senior level,Financial Services,200,Cyber Security,Automation Affected
Immediate Hiring for Cyber-D&R-SOAR/XSOAR/Palo Alto-2-4 yrs-Mumbai,Deloitte,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Automation Affected
Security Operations Center Analyst,ValueLabs,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Cybersecurity Tester/Penetration Tester,ValueLabs,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Senior Security Analyst,Fanatics,"Hyderabad, Telangana, India",Mid-Senior level,"Technology, Information and Internet",25,Cyber Security,Low AI Impact
Cyber Security & GRC - Manager,Godrej Capital,"Mumbai, Maharashtra, India",Mid-Senior level,Banking,200,Cyber Security,Low AI Impact
Assistant Manager - Cybersecurity Operations,Tata Communications,"Mumbai, Maharashtra, India",Mid-Senior level,Telecommunications,200,Cyber Security,Low AI Impact
Firewall Engineer,Wissen Infotech,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Sr. Information Security Analyst,AMD,"Hyderabad, Telangana, India",Mid-Senior level,Semiconductor Manufacturing,200,Cyber Security,Automation Affected
Security Analyst - Threat Hunting,SHI Solutions India Pvt. Ltd.,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Senior Role - GRC & Infosec,NPCI Bharat BillPay Limited,"Mumbai, Maharashtra, India",Mid-Senior level,Banking,200,Cyber Security,Low AI Impact
Penetration Tester,ValueLabs,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Senior Analyst - Security Operations Analyst [T500-21398],Deutsche Börse Group,"Hyderabad, Telangana, India",Mid-Senior level,Financial Services,200,Cyber Security,Low AI Impact
Team Member IS Risk,YES BANK,"Mumbai, Maharashtra, India",Mid-Senior level,Banking,200,Cyber Security,Low AI Impact
"Manager- Information Security, Vulnerability and Risk Management)",Infosys BPM,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Security Threat Intelligence and Hunting Analyst,"NTT DATA, Inc.","Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,132,Cyber Security,Low AI Impact
Cyber Security Architect,Tata Consultancy Services,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Managed Services Information Security Analyst,"NTT DATA, Inc.","Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,47,Cyber Security,Low AI Impact
Security Analyst,Tata Consultancy Services,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Cybersecurity SecOps,Wissen Infotech,"Hyderabad, Telangana, India",Mid-Senior level,"Technology, Information and Internet",200,Cyber Security,Automation Affected
Application Security Engineer,Foodsmart,India,Mid-Senior level,Wellness and Fitness Services,200,Cyber Security,Low AI Impact
Team Member IS Risk,YES BANK,"Mumbai, Maharashtra, India",Mid-Senior level,Banking,166,Cyber Security,Low AI Impact
Vulnerability Management Analyst,Genpact,"Hyderabad, Telangana, India",Mid-Senior level,Business Consulting and Services,200,Cyber Security,Automation Affected
Regional Chief Information Security Officer (CISO),Boku,"Mumbai, Maharashtra, India",Mid-Senior level,Financial Services,200,Cyber Security,Low AI Impact
Engineer-Network & Security,IDFC FIRST Bank,"Mumbai, Maharashtra, India",Mid-Senior level,Banking,200,Cyber Security,Low AI Impact
Walk-In Drive-IAM- Thane Mumbai-8th November'25 Saturday,Deloitte,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,110,Cyber Security,Low AI Impact
Security Analyst,MathWorks,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Cyber Security,Automation Affected
Senior Information Security Engineer (ISO27001),IDfy,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
"Manager, Corporate Security",EY,"Hyderabad, Telangana, India",Mid-Senior level,Professional Services,200,Cyber Security,Low AI Impact
Network Security Engineer,Tata Consultancy Services,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,169,Cyber Security,Low AI Impact
Cyber Security Analyst L2,Wipro,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Security Auditor,Helo.ai by VivaConnect,"Mumbai, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",200,Cyber Security,Low AI Impact
Security Architect,IDFC FIRST Bank,"Mumbai, Maharashtra, India",Mid-Senior level,Banking,200,Cyber Security,Low AI Impact
VAPT ENGINEER (L2 / L3),Terralogic,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,56,Cyber Security,Low AI Impact
Major Incident Response Analyst,Capgemini,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,38,Cyber Security,Low AI Impact
IN-Manager_SOC_Cyber Risk and Regulations_ Advisory _Hyderabad,PwC India,"Hyderabad, Telangana, India",Mid-Senior level,Business Consulting and Services,25,Cyber Security,Low AI Impact
Manager - Cyber Defense,KPMG India,"Mumbai, Maharashtra, India",Mid-Senior level,Business Consulting and Services,25,Cyber Security,Low AI Impact
Information Security Engineer,Accurate Background,"Hyderabad, Telangana, India",Mid-Senior level,Human Resources Services,200,Cyber Security,Low AI Impact
Network Security Architect,Photon,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,83,Cyber Security,Automation Affected
Cyber Security Architect,ValueLabs,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Cyber Security,Low AI Impact
Delivery Head Cyber Security,Kirtane & Pandit,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Automation Affected
Senior Associate Vulnerability Assessment Specialist,"NTT DATA, Inc.","Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,87,Cyber Security,Low AI Impact
Principal Security Analyst,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Manager - Cyber Defense,KPMG India,"Mumbai, Maharashtra, India",Mid-Senior level,Business Consulting and Services,25,Cyber Security,Low AI Impact
"IS Analyst - IT Security (SOC, SIEM, SOAR, EDR)",Franklin Templeton,"Hyderabad, Telangana, India",Mid-Senior level,Financial Services,200,Cyber Security,Low AI Impact
IT Security Analyst,Thornton Tomasetti,"Mumbai, Maharashtra, India",Mid-Senior level,Design Services,200,Cyber Security,Low AI Impact
Network Security Analyst,Castellum Labs,"Hyderabad, Telangana, India",Mid-Senior level,Computer and Network Security,200,Cyber Security,Low AI Impact
Security Engineer,Yext,"Hyderabad, Telangana, India",Mid-Senior level,"Technology, Information and Internet",32,Cyber Security,Low AI Impact
SIEM Administrator,Network Intelligence,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Automation Affected
Regional Information Security Officer (RISO),Stellantis,"Chennai, Tamil Nadu, India",Mid-Senior level,Motor Vehicle Manufacturing,200,Cyber Security,Low AI Impact
Security Incident Responder,WPP,"Chennai, Tamil Nadu, India",Mid-Senior level,Advertising Services,180,Cyber Security,Low AI Impact
Assistant Manager - Cybersecurity Operations,Tata Communications,"Pune, Maharashtra, India",Mid-Senior level,Telecommunications,130,Cyber Security,Low AI Impact
TPRM - Manager,Cognizant,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,65,Cyber Security,Automation Affected
Information Security Manager,Northern Arc Capital,"Chennai, Tamil Nadu, India",Mid-Senior level,Financial Services,200,Cyber Security,Low AI Impact
Security Analyst,Bahwan CyberTek,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Penetration Tester,IBM,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Automation Affected
Cybersecurity Analyst(Remote),Codvo.ai,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Information Security Analyst,Lexitas,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,200,Cyber Security,Low AI Impact
Security Analyst,Copeland,"Pune, Maharashtra, India",Mid-Senior level,Climate Technology Product Manufacturing,200,Cyber Security,Low AI Impact
Security Operations Center Architect,Exela Technologies,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Cyber Security Specialist,Centrico India Private Ltd,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Cybersecurity GRC Analyst,Copeland,"Pune, Maharashtra, India",Mid-Senior level,Climate Technology Product Manufacturing,200,Cyber Security,Low AI Impact
IT Cybersecurity Manager,BNP Paribas,"Chennai, Tamil Nadu, India",Mid-Senior level,Banking,200,Cyber Security,Automation Affected
Regional Lead - Cyber Incident Response - Bangalore/Chennai - GO/JC/1647/2025,Golden Opportunities,"Chennai, Tamil Nadu, India",Mid-Senior level,Staffing and Recruiting,50,Cyber Security,Automation Affected
Lead - Cybersecurity Risk & Compliance,Freshworks,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,26,Cyber Security,Automation Affected
Security Architect,Purchasing Power,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,154,Cyber Security,Automation Affected
Application Security Engineer,Verto,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,166,Cyber Security,Automation Affected
Application Security Engineer,Cynosure Corporate Solutions,"Chennai, Tamil Nadu, India",Mid-Senior level,Telecommunications,106,Cyber Security,Low AI Impact
Major Incident Response Analyst,Capgemini,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,38,Cyber Security,Low AI Impact
"Senior Incident Response Specialist, Bangkok Based (Relocation Provided)",Agoda,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",124,Cyber Security,Automation Affected
Senior Physical Security Analyst,Mastercard,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,142,Cyber Security,Low AI Impact
Physical Security Analyst II,Mastercard,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,79,Cyber Security,Low AI Impact
Information Security & Infrastructure Manager,InspireXT,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,40,Cyber Security,Low AI Impact
Cyber Security Engineer,Emerson,"Pune, Maharashtra, India",Mid-Senior level,Automation Machinery Manufacturing,200,Cyber Security,Automation Affected
L1 Cyber Defence Analyst - VOIS,VOIS,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Cyber Security Architect,Tata Consultancy Services,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,80,Cyber Security,Automation Affected
3628809-Senior Manager,EXL,"Chennai, Tamil Nadu, India",Mid-Senior level,Business Consulting and Services,25,Cyber Security,Low AI Impact
Security Test Engineer,HiLabs,"Pune, Maharashtra, India",Mid-Senior level,Software Development,200,Cyber Security,Automation Affected
Cyber Security Operation Engineer,Hitachi Energy,"Chennai, Tamil Nadu, India",Mid-Senior level,"Appliances, Electrical, and Electronics Manufacturing and IT Services and IT Consulting",106,Cyber Security,Automation Affected
Sr Analyst - Cyber Security,Mphasis,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Low AI Impact
Network Security Engineer,Tata Consultancy Services,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,97,Cyber Security,Low AI Impact
Information Security &amp; Infrastructure Manager,InspireXT,"Pune, Maharashtra, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",25,Cyber Security,Low AI Impact
"Technical Operations Manager, Web Security",Sectigo,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,45,Cyber Security,Low AI Impact
Senior Security Architect - Banking IT,Global Software Solutions Group,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,25,Cyber Security,Low AI Impact
Network Security Specialist,Intellect Design Arena Ltd,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,135,Cyber Security,Automation Affected
Incident Responder - L3,SQ1 Security,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,124,Cyber Security,Automation Affected
Penetraion Tester,IBM,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cyber Security,Automation Affected
"Manager, Information Security",Global Payments Inc.,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,72,Cyber Security,Low AI Impact
Senior Application Security Engineer,TripleLift,"Pune, Maharashtra, India",Mid-Senior level,Advertising Services,200,Cyber Security,Low AI Impact
Information security engineering specialist,bp,"Pune, Maharashtra, India",Mid-Senior level,Oil and Gas,44,Cyber Security,Low AI Impact
Security Engineer-1,Copeland,"Pune, Maharashtra, India",Mid-Senior level,Climate Technology Product Manufacturing,88,Cyber Security,Low AI Impact
Cyber Security Analyst – IT,Flex,"Chennai, Tamil Nadu, India",Mid-Senior level,"Appliances, Electrical, and Electronics Manufacturing",200,Cyber Security,Low AI Impact
IT Security Systems Administrator,ACA Group,"Pune, Maharashtra, India",Mid-Senior level,Business Consulting and Services,143,Cyber Security,Low AI Impact
Senior Manger-SOC - GO/JC/1643/2025,Golden Opportunities,"Chennai, Tamil Nadu, India",Mid-Senior level,Staffing and Recruiting,33,Cyber Security,Automation Affected
Threat Intelligence Analyst – L3,SQ1 Security,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,106,Cyber Security,Automation Affected
Application Security Engineer,Emerson,"Pune, Maharashtra, India",Mid-Senior level,Automation Machinery Manufacturing,200,Cyber Security,Low AI Impact
Cloud Security Architect,Unison Group,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,25,Cyber Security,Automation Affected
"Password Management:Lead, Cyber Sec Eng",Northern Trust,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,25,Cyber Security,Automation Affected
Sr. Information Security Operations Engineer,Glidewell Dental,"Chennai, Tamil Nadu, India",Mid-Senior level,Medical,200,Cyber Security,Low AI Impact
"Senior/Staff Application Security Engineer (Bangkok based, relocation provided)",Agoda,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",44,Cyber Security,Automation Affected
Product Security Engineer,SailPoint,"Pune, Maharashtra, India",Mid-Senior level,Software Development,200,Cyber Security,Automation Affected
Devsecops,CTC,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,88,Cyber Security,Low AI Impact
Senior Manager - Security,Presidio,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,98,Cyber Security,Automation Affected
Security Researcher – Telecom & Network Security,Sec1,"Pune, Maharashtra, India",Mid-Senior level,Computer and Network Security,74,Cyber Security,Automation Affected
Vulnerability Management Analyst,Hapag-Lloyd AG,"Chennai, Tamil Nadu, India",Mid-Senior level,Maritime Transportation,200,Cyber Security,Low AI Impact
"Senior Security Monitoring and Response Analyst - Business Continuity, Operational Resilience",Mastercard,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,72,Cyber Security,Automation Affected
"Password Management: Lead, Cyber Sec Eng",Northern Trust,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,25,Cyber Security,Automation Affected
Senior Manager Information Security,Casagrand Premier Builder Limited,"Chennai, Tamil Nadu, India",Mid-Senior level,Real Estate,125,Cyber Security,Low AI Impact
RBHU Analytics - Data Analyst - Python/SQL,ETG India,"Mumbai, Maharashtra, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,Data Analyst,Automation Affected
Data Analyst,InCred Money,"Mumbai, Maharashtra, India",Entry level,Financial Services,200,Data Analyst,Low AI Impact
Data Analyst Intern,IG Tech,India,Entry level,"Technology, Information and Internet",200,Data Analyst,AI Adoption Affected
Data Analyst,Codesis Technologies Private Limited,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,200,Data Analyst,AI Adoption Affected
Data Analyst Intern,Condé Nast India,"Mumbai, Maharashtra, India",Entry level,Book and Periodical Publishing,200,Data Analyst,Low AI Impact
Data Entry Internship in Mumbai,Elchemy,"Mumbai, Maharashtra, India",Entry level,Advertising Services,127,Data Analyst,Low AI Impact
Data Analyst Trainee,MTE Trainings,India,Entry level,Education Administration Programs,74,Data Analyst,Low AI Impact
Online Data Analyst - India,TELUS Digital,India,Entry level,IT Services and IT Consulting,200,Data Analyst,AI Adoption Affected
Intern - Data Management,Labcorp,"Bengaluru, Karnataka, India",Entry level,Hospitals and Health Care,200,Data Analyst,AI Adoption Affected
Data Analytics Internship in Mumbai,Open Secret,"Mumbai, Maharashtra, India",Entry level,Market Research,200,Data Analyst,Low AI Impact
Data Analysis Intern,Newton School,"Bengaluru, Karnataka, India",Entry level,Pharmaceutical Manufacturing,200,Data Analyst,Automation Affected
Business Analytics Internship in Bangalore,Tercept,"Bengaluru, Karnataka, India",Entry level,Advertising Services,200,Data Analyst,Low AI Impact
Walk-in Recruitment Drive for Fresh Graduate Interns – Bhubaneswar,Jindal Steel Ltd.,"Angul, Odisha, India",Entry level,Mining,200,Data Analyst,Low AI Impact
Data Analyst,Zetheta Algorithms Private Limited,India,Entry level,"Technology, Information and Internet",31,Data Analyst,AI Adoption Affected
Business Intelligence (BI) Fresher,Datman,"Bengaluru, Karnataka, India",Entry level,Financial Services,200,Data Analyst,Low AI Impact
Diploma Instrumentation,Aditya Birla Group,"Maharashtra, India",Entry level,Executive Offices,200,Data Analyst,Automation Affected
Data Analytics Internship in Bangalore,Supertails,"Bengaluru, Karnataka, India",Entry level,Software Development,200,Data Analyst,Low AI Impact
Business Intelligence Intern,Cashfree Payments,"Bengaluru, Karnataka, India",Entry level,Financial Services,200,Data Analyst,Low AI Impact
Back Office Executive,The Muthoot Group,"Robertsonpet, Karnataka, India",Entry level,Financial Services,109,Data Analyst,Low AI Impact
Intern - Data Analyst,Smart Ship© Hub,"Pune, Maharashtra, India",Entry level,Software Development,200,Data Analyst,Automation Affected
Data Analyst,digiDZN,"Delhi, India",Entry level,Advertising Services,200,Data Analyst,Low AI Impact
Data Analytics Internship in Kolkata,Xpert,Greater Kolkata Area,Entry level,Advertising Services,200,Data Analyst,Low AI Impact
"Data (SQL & Visualization) Internship in Bangalore, Mumbai, Delhi, Chennai (Hybrid)",Wadhwani Foundation,"Mumbai, Maharashtra, India",Entry level,Market Research and Non-profit Organizations,200,Data Analyst,Low AI Impact
Data Entry Internship in Pune,Global EduTech,"Pune, Maharashtra, India",Entry level,Advertising Services,75,Data Analyst,Automation Affected
Data Analyst Intern,Infrabyte Consulting,India,Entry level,IT Services and IT Consulting,200,Data Analyst,Automation Affected
"Data (SQL & Visualization) Internship in Bangalore, Mumbai, Delhi, Chennai (Hybrid)",Wadhwani Foundation,"Bengaluru, Karnataka, India",Entry level,Market Research and Non-profit Organizations,200,Data Analyst,Low AI Impact
Data Labs Intern,Convin,"Bengaluru, Karnataka, India",Entry level,Software Development,200,Data Analyst,Automation Affected
Industrial Trainee,KPMG India,"Gurgaon, Haryana, India",Entry level,Financial Services,200,Data Analyst,Low AI Impact
Back Office Executive,The Muthoot Group,"Bengaluru, Karnataka, India",Entry level,Financial Services,144,Data Analyst,Low AI Impact
General Management Internship in Chennai,Zebronics,"Chennai, Tamil Nadu, India",Entry level,Advertising Services,200,Data Analyst,Low AI Impact
Data Analyst Intern,InLighnX Global Private Limited,India,Entry level,Education Administration Programs,200,Data Analyst,AI Adoption Affected
Intern - Associate Research Analyst,CapeStart,"Nagercoil, Tamil Nadu, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Data Entry Internship in Mumbai,Olympia Industries Ltd.,"Mumbai, Maharashtra, India",Entry level,Advertising Services,200,Data Analyst,Automation Affected
"Data (SQL & Visualization) Internship in Bangalore, Mumbai, Delhi, Chennai (Hybrid)",Wadhwani Foundation,"Delhi, India",Entry level,Market Research and Non-profit Organizations,200,Data Analyst,Low AI Impact
Analytics Internship in Bangalore,Xoxoday,"Bengaluru, Karnataka, India",Entry level,Advertising Services,200,Data Analyst,Low AI Impact
"Data Entry Internship in Bangalore, Koramangala (Hybrid)",Samhita,"Bengaluru, Karnataka, India",Entry level,Advertising Services,77,Data Analyst,Automation Affected
"Data Entry Internship in Bangalore, Koramangala (Hybrid)",Samhita,"Bengaluru, Karnataka, India",Entry level,Advertising Services,53,Data Analyst,Automation Affected
Analyst,eClerx,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Data Analyst Intern,Unified Mentor Private Limited,India,Entry level,IT Services and IT Consulting,25,Data Analyst,AI Adoption Affected
Analytics Intern,Xoxoday,"Bengaluru, Karnataka, India",Entry level,Staffing and Recruiting,200,Data Analyst,Low AI Impact
"Collect Associate Intern Internship in Bangalore, Bangalore",Jodo,"Bengaluru, Karnataka, India",Entry level,Advertising Services,25,Data Analyst,Low AI Impact
"Data (SQL & Visualization) Internship in Bangalore, Mumbai, Delhi, Chennai (Hybrid)",Wadhwani Foundation,"Chennai, Tamil Nadu, India",Entry level,Market Research and Non-profit Organizations,200,Data Analyst,Low AI Impact
Corporate Sales - Trainee ( Freshers),KredX,"Bengaluru, Karnataka, India",Entry level,Financial Services,58,Data Analyst,Automation Affected
Data Analytics Internship in Hyderabad,PHINCO Eduversity,"Hyderabad, Telangana, India",Entry level,Market Research,200,Data Analyst,Low AI Impact
Data Entry Internship in Gurgaon,Peters Surgical,"Gurgaon, Haryana, India",Entry level,Advertising Services,82,Data Analyst,Low AI Impact
Data Security Engineer - Intern,Groww,"Bengaluru, Karnataka, India",Entry level,Financial Services,200,Data Analyst,Low AI Impact
Freelance AI Agent Assistant,Mindrift,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,41,Data Analyst,AI Adoption Affected
Data Analyst Intern,IT Solutions by IT,India,Entry level,"Technology, Information and Internet",200,Data Analyst,Low AI Impact
Data analyst intern,TalesByDora,"Noida, Uttar Pradesh, India",Entry level,Hospitality,200,Data Analyst,AI Adoption Affected
Fresher Data Analyst,CryptoChakra,India,Entry level,"Technology, Information and Internet",200,Data Analyst,Low AI Impact
Data Analyst Intern,Webs IT Solution,India,Entry level,IT Services and IT Consulting,119,Data Analyst,Automation Affected
Founder's office intern,PIL Gaming,"Hyderabad, Telangana, India",Entry level,E-Learning Providers,137,Data Analyst,Low AI Impact
Freelance AI Agent Assistant,Mindrift,"Delhi, India",Entry level,IT Services and IT Consulting,37,Data Analyst,AI Adoption Affected
"Data Monitoring Internship in Chennai, Mumbai",Inspire Clean Energy,"Chennai, Tamil Nadu, India",Entry level,Advertising Services,200,Data Analyst,Low AI Impact
Freelance AI Agent Assistant,Mindrift,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,25,Data Analyst,AI Adoption Affected
IP Lawyer Intern,10x,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,79,Data Analyst,Automation Affected
Analytics Intern,Giift,"Bengaluru, Karnataka, India",Entry level,Software Development,200,Data Analyst,Low AI Impact
Fresher Jobs-Bhubaneswar (SEO Internship),Seoczar IT Services Pvt Ltd,"Bhubaneswar, Odisha, India",Entry level,IT Services and IT Consulting,85,Data Analyst,Low AI Impact
Internship - CRM,Tata CLiQ Fashion,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",200,Data Analyst,Automation Affected
"Data Monitoring Internship in Chennai, Mumbai",Inspire Clean Energy,"Mumbai, Maharashtra, India",Entry level,Advertising Services,146,Data Analyst,Low AI Impact
Data Analyst,Apna Mart,"Bengaluru, Karnataka, India",Entry level,"Technology, Information and Internet",200,Data Analyst,Low AI Impact
Data Analyst - 1,Jar,"Bengaluru, Karnataka, India",Entry level,"Wireless Services, Telecommunications, and Communications Equipment Manufacturing",94,Data Analyst,AI Adoption Affected
Analyst,Deutsche Bank,"Bengaluru, Karnataka, India",Entry level,Banking,200,Data Analyst,Low AI Impact
Data Analyst,Concentrix,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Data Analyst L4,Wipro,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Automation Affected
Data Analyst,BNP Paribas,"Bengaluru, Karnataka, India",Entry level,Banking,200,Data Analyst,AI Adoption Affected
Analyst,Wipro,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Analyst,Wipro,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Data Analyst,"Enterprise Minds, Inc","Bengaluru, Karnataka, India",Entry level,Software Development,200,Data Analyst,Automation Affected
Data Analyst,Amicon Hub Services,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
"Data Management, Analyst",BlackRock,"Bengaluru, Karnataka, India",Entry level,Financial Services,145,Data Analyst,Low AI Impact
"Data Management , Analyst",BlackRock,"Bengaluru, Karnataka, India",Entry level,Financial Services,114,Data Analyst,Low AI Impact
